Station,Date,Daily_Entry,Daily_Exit	
103 ST,07/03/2020,2050,1800	
103 ST,07/04/2020,1604,1344	
103 ST,07/05/2020,1429,1274	
103 ST,07/06/2020,2490,2335	
103 ST,07/07/2020,2663,2305	
103 ST,07/08/2020,2677,2370	
103 ST,07/09/2020,2663,2435	
103 ST,07/10/2020,2396,2074	
103 ST,07/11/2020,1710,1632	
103 ST,07/12/2020,1583,1587	
103 ST,07/13/2020,2695,2356	
103 ST,07/14/2020,2713,2491	
103 ST,07/15/2020,2630,2551	
103 ST,07/16/2020,2857,2461	
103 ST,07/17/2020,2634,2469	
103 ST,07/18/2020,1974,1714	
103 ST,07/19/2020,1439,1342	
103 ST,07/20/2020,2519,2324	
103 ST,07/21/2020,2829,2591	
103 ST,07/22/2020,2761,2581	
103 ST,07/23/2020,2764,2463	
103 ST,07/24/2020,2867,2464	
103 ST,07/25/2020,2032,1911	
103 ST,07/26/2020,1553,1415	
103 ST,07/27/2020,2706,2512	
103 ST,07/28/2020,2747,2539	
103 ST,07/29/2020,3014,2569	
103 ST,07/30/2020,2847,2575	
103 ST,07/31/2020,2925,2711	
103 ST,08/01/2020,1878,1894	
103 ST,08/02/2020,1394,1332	
103 ST,08/03/2020,2789,2543	
103 ST,08/04/2020,2009,2087	
103 ST,08/05/2020,2984,2677	
103 ST,08/06/2020,2939,2690	
103 ST,08/07/2020,20980,19207	
103 ST,08/15/2020,1902,1686	
103 ST,08/16/2020,1289,1357	
103 ST,08/17/2020,2644,2694	
103 ST,08/18/2020,2782,2727	
103 ST,08/19/2020,2923,2759	
103 ST,08/20/2020,3094,2905	
103 ST,08/21/2020,3173,2849	
103 ST,08/22/2020,2117,1801	
103 ST,08/23/2020,1577,1441	
103 ST,08/24/2020,2897,2554	
103 ST,08/25/2020,2993,2742	
103 ST,08/26/2020,2556,2728	
103 ST,08/27/2020,3108,2676	
103 ST,08/28/2020,3059,2828	
103 ST,08/29/2020,1776,1474	
103 ST,08/30/2020,1595,1540	
103 ST,08/31/2020,3107,2891	
103 ST,09/01/2020,3255,2911	
103 ST,09/02/2020,13959796,33234266	
103 ST,09/03/2020,3967,3386	
103 ST,09/04/2020,4218,3529	
103 ST,09/05/2020,2746,2382	
103 ST,09/06/2020,2114,1942	
103 ST,09/07/2020,-13955745,-33230773	
103 ST,09/08/2020,3447,3144	
103 ST,09/09/2020,3625,3135	
103 ST,09/10/2020,2890,3096	
103 ST,09/11/2020,3866,3256	
103 ST,09/12/2020,2612,2302	
103 ST,09/13/2020,1947,1815	
103 ST,09/14/2020,3620,3229	
103 ST,09/15/2020,3807,3312	
103 ST,09/16/2020,3117,3319	
103 ST,09/17/2020,3820,3361	
103 ST,09/18/2020,3851,3382	
103 ST,09/19/2020,2715,2285	
103 ST,09/20/2020,2031,1741	
103 ST,09/21/2020,3250,3156	
103 ST,09/22/2020,3105,3257	
103 ST,09/23/2020,3171,3338	
103 ST,09/24/2020,3130,3354	
103 ST,09/25/2020,22543,24510	
103 ST,10/03/2020,2416,2507	
103 ST,10/04/2020,1771,1905	
103 ST,10/05/2020,2942,3221	
103 ST,10/06/2020,3214,3552	
103 ST,10/07/2020,3170,3505	
103 ST,10/08/2020,3281,3683	
103 ST,10/09/2020,3338,3646	
103 ST,10/10/2020,2275,2421	
103 ST,10/11/2020,1652,1888	
103 ST,10/12/2020,-23034884,-16684120	
103 ST,10/13/2020,23040240,16690275	
103 ST,10/14/2020,3368,3784	
103 ST,10/15/2020,3271,3761	
103 ST,10/16/2020,3009,3327	
103 ST,10/17/2020,2221,2351	
103 ST,10/18/2020,1611,1900	
103 ST,10/19/2020,3005,3450	
103 ST,10/20/2020,3221,3540	
103 ST,10/21/2020,3260,3441	
103 ST,10/22/2020,3245,3518	
103 ST,10/23/2020,3227,3598	
103 ST,10/24/2020,2405,2474	
103 ST,10/25/2020,1841,2042	
103 ST,10/26/2020,3172,3437	
103 ST,10/27/2020,3292,3876	
103 ST,10/28/2020,3372,3785	
103 ST,10/29/2020,3100,3698	
103 ST,10/30/2020,3276,3769	
103 ST,10/31/2020,2415,2726	
103 ST,11/01/2020,1760,1886	
103 ST,11/02/2020,3720,3575	
103 ST,11/03/2020,3654,3268	
103 ST,11/04/2020,3752,3284	
103 ST,11/05/2020,3939,3496	
103 ST,11/06/2020,4137,3626	
103 ST,11/07/2020,2915,2645	
103 ST,11/08/2020,2422,2052	
103 ST,11/09/2020,4182,3384	
103 ST,11/10/2020,4022,3608	
103 ST,11/11/2020,3571,3299	
103 ST,11/12/2020,3906,3712	
103 ST,11/13/2020,4032,3618	
103 ST,11/14/2020,2760,2608	
103 ST,11/15/2020,2024,1969	
103 ST,11/16/2020,3932,3508	
103 ST,11/17/2020,4152,3564	
103 ST,11/18/2020,4064,3626	
103 ST,11/19/2020,3876,3485	
103 ST-CORONA,01/01/2020,8053,7431	
103 ST-CORONA,01/02/2020,19038,14223	
103 ST-CORONA,01/03/2020,19689,14860	
103 ST-CORONA,01/04/2020,13697,10153	
103 ST-CORONA,01/05/2020,10450,8603	
103 ST-CORONA,01/06/2020,19862,15699	
103 ST-CORONA,01/07/2020,19844,15323	
103 ST-CORONA,01/08/2020,20192,15470	
103 ST-CORONA,01/09/2020,19925,15290	
103 ST-CORONA,01/10/2020,20754,15540	
103 ST-CORONA,01/11/2020,14413,11082	
103 ST-CORONA,01/12/2020,10724,8740	
103 ST-CORONA,01/13/2020,19727,15147	
103 ST-CORONA,01/14/2020,19937,15431	
103 ST-CORONA,01/15/2020,20610,15575	
103 ST-CORONA,01/16/2020,20484,15565	
103 ST-CORONA,01/17/2020,20174,15255	
103 ST-CORONA,01/18/2020,12862,10951	
103 ST-CORONA,01/19/2020,10539,9218	
103 ST-CORONA,01/20/2020,15479,12042	
103 ST-CORONA,01/21/2020,19462,14728	
103 ST-CORONA,01/22/2020,19732,13826	
103 ST-CORONA,01/23/2020,19601,13884	
103 ST-CORONA,01/24/2020,20238,13463	
103 ST-CORONA,01/25/2020,13335,11131	
103 ST-CORONA,01/26/2020,10926,9681	
103 ST-CORONA,01/27/2020,19910,13520	
103 ST-CORONA,01/28/2020,20675,14550	
103 ST-CORONA,01/29/2020,20744,14689	
103 ST-CORONA,01/30/2020,20367,14939	
103 ST-CORONA,01/31/2020,20943,14939	
103 ST-CORONA,02/01/2020,13833,10030	
103 ST-CORONA,02/02/2020,10024,7992	
103 ST-CORONA,02/03/2020,20360,15519	
103 ST-CORONA,02/04/2020,20719,15767	
103 ST-CORONA,02/05/2020,21085,15639	
103 ST-CORONA,02/06/2020,20634,15550	
103 ST-CORONA,02/07/2020,20895,15782	
103 ST-CORONA,02/08/2020,13835,10447	
103 ST-CORONA,02/09/2020,9697,8238	
103 ST-CORONA,02/10/2020,19883,15453	
103 ST-CORONA,02/11/2020,20404,15444	
103 ST-CORONA,02/12/2020,20951,15659	
103 ST-CORONA,02/13/2020,20953,15969	
103 ST-CORONA,02/14/2020,21321,15807	
103 ST-CORONA,02/15/2020,13177,10047	
103 ST-CORONA,02/16/2020,10155,8021	
103 ST-CORONA,02/17/2020,15804,11655	
103 ST-CORONA,02/18/2020,19302,14583	
103 ST-CORONA,02/19/2020,19818,13673	
103 ST-CORONA,02/20/2020,19309,14087	
103 ST-CORONA,02/21/2020,19450,12912	
103 ST-CORONA,02/22/2020,13618,10140	
103 ST-CORONA,02/23/2020,10219,8243	
103 ST-CORONA,02/24/2020,20255,14051	
103 ST-CORONA,02/25/2020,20523,15727	
103 ST-CORONA,02/26/2020,20891,14534	
103 ST-CORONA,02/27/2020,20835,14424	
103 ST-CORONA,02/28/2020,20839,14280	
103 ST-CORONA,02/29/2020,13452,10437	
103 ST-CORONA,03/01/2020,9746,8077	
103 ST-CORONA,03/02/2020,20194,15394	
103 ST-CORONA,03/03/2020,20709,15907	
103 ST-CORONA,03/04/2020,21056,15697	
103 ST-CORONA,03/05/2020,21001,15814	
103 ST-CORONA,03/06/2020,20709,15872	
103 ST-CORONA,03/07/2020,23344,17799	
103 ST-CORONA,03/09/2020,20384,13885	
103 ST-CORONA,03/10/2020,20184,13501	
103 ST-CORONA,03/11/2020,-34527601,-33842374	
103 ST-CORONA,03/12/2020,19779980,21416662	
103 ST-CORONA,03/13/2020,18632,12479	
103 ST-CORONA,03/14/2020,11426,4796	
103 ST-CORONA,03/15/2020,7934,3464	
103 ST-CORONA,03/16/2020,-16080419,-25306462	
103 ST-CORONA,03/17/2020,16105681,25324004	
103 ST-CORONA,03/18/2020,10817,7437	
103 ST-CORONA,03/19/2020,9653,7885	
103 ST-CORONA,03/20/2020,9463,6396	
103 ST-CORONA,03/21/2020,5053,4623	
103 ST-CORONA,03/22/2020,2783,2908	
103 ST-CORONA,03/23/2020,4216,3883	
103 ST-CORONA,03/24/2020,4504,4236	
103 ST-CORONA,03/25/2020,3997,4006	
103 ST-CORONA,03/26/2020,3969,3805	
103 ST-CORONA,03/27/2020,3886,3563	
103 ST-CORONA,03/28/2020,2212,2447	
103 ST-CORONA,03/29/2020,1630,1763	
103 ST-CORONA,03/30/2020,3007,2982	
